latitud,provincia,altitud,indicativo,nombre,longitud
383606N,MURCIA,640,7275C,YECLA,010935W
385715N,ALBACETE,702,8175,ALBACETE BASE AÉREA,015123W
390020N,ALBACETE,676,8178D,ALBACETE,015144W
385609N,ALBACETE,880,8177A,CHINCHILLA,013936W
382221N,ALICANTE,81,8025,ALICANTE/ALACANT,002939W
381658N,ALICANTE,43,8019,ALICANTE-ELCHE AEROPUERTO,003415W
384701N,ALICANTE,15,8050X,JÁVEA/ XÀBIA,001004E
395726N,CASTELLON,43,8500A,CASTELLÓN - ALMASSORA,000419W
395858N,CASTELLON,23,8501,CASTELLÓN DE LA PLANA,000157W
402600N,CASTELLON,1131,8489X,VILLAFRANCA DEL CID/VILLAFRANCA,001521W
403315N,CASTELLON,111,8523X,VINARÒS,002547E
400402N,CUENCA,948,8096,CUENCA,020755W
402102N,TERUEL,900,8368U,TERUEL,010727W
385544N,VALENCIA,5,8058X,OLIVA,000545W
391105N,VALENCIA,12,8325X,POLINYÀ DE XÚQUER,002219W
393432N,VALENCIA,758,8309X,UTIEL,011441W
392906N,VALENCIA,56,8414A,VALENCIA AEROPUERTO,002829W
392850N,VALENCIA,11,8416Y,"VALÈNCIA, VIVEROS",002159W
390006N,VALENCIA,88,8293X,XÀTIVA,003125W
425255N,ARABA/ALAVA,513,9091O,FORONDA-TXOKIZA,024406W
425059N,ARABA/ALAVA,521,9087,VITORIA AERÓDROMO,023922W
425219N,ARABA/ALAVA,513,9091R,VITORIA GASTEIZ AEROPUERTO,024358W
422516N,BURGOS,820,9111,BELORADO,031013W
425512N,BURGOS,580,9051,MEDINA DE POMAR,032858W
425931N,CANTABRIA,870,9001D,REINOSA,040938W
424823N,CANTABRIA,720,9019B,"VALDERREDIBLE, POLIENTES   ",035602W
402955N,CASTELLON,1220,9563X,CASTELLFORT,001112W
421957N,GIRONA,1703,9585,LA MOLINA,015622E
424232N,HUESCA,1040,9208E,ARAGÜÉS DEL PUERTO,004023W
423748N,HUESCA,992,9784P,BIELSA,001329E
420504N,HUESCA,546,9898,"HUESCA, AEROPUERTO",001932W
423444N,HUESCA,823,9201K,JACA,003249W
423736N,HUESCA,1020,9814A,TORLA,000642W
422708N,LA RIOJA,353,9170,"LOGROÑO, AEROPUERTO",021952W
422117N,LLEIDA,677,9619,LA SEU D'URGELL,012747E
413702N,LLEIDA,199,9771,"LLEIDA, OBSERVATORIO",003716E
413734N,LLEIDA,185,9771C,LLEIDA,003553E
424201N,LLEIDA,1161,9990X,"NAUT ARAN, ARTIES ",005237E
421219N,LLEIDA,807,9698U,TALARN,005155E
413902N,LLEIDA,388,9720X,TÀRREGA,010858E
424634N,NAVARRA,572,9263X,"ARANGUREN, ILUNDAIN  ",013157W
421155N,NAVARRA,295,9294E,"BARDENAS REALES, BASE AÉREA ",012831W
421225N,NAVARRA,268,9283X,CADREITA,014241W
424637N,NAVARRA,459,9263D,"PAMPLONA, AEROPUERTO",013900W
424904N,NAVARRA,450,9262,PAMPLONA,013818W
404913N,TARRAGONA,50,9981A,ESTACIÓN DE TORTOSA (ROQUETES),002936E
404157N,TARRAGONA,1,9987P,SANT JAUME D'ENVEJA,004836E
410329N,TERUEL,334,9573X,ALCAÑIZ,000830W
405154N,TERUEL,932,9381,"CALAMOCHA, AERÓDROMO",011818W
405534N,TERUEL,890,9381I,CALAMOCHA,011736W
405648N,TERUEL,466,9569A,CALANDA,001416W
413121N,ZARAGOZA,357,9576C,BUJARALOZ,001028W
411952N,ZARAGOZA,582,9394X,CALATAYUD,013843W
410652N,ZARAGOZA,779,9390,DAROCA,012436W
422927N,ZARAGOZA,626,9244X,SOS DEL REY CATÓLICO,011249W
413938N,ZARAGOZA,249,9434,"ZARAGOZA, AEROPUERTO",010015W
413715N,ZARAGOZA,254,9434P,"ZARAGOZA, VALDESPARTERA",005606W
394300N,ILLES BALEARS,57,B569X,CAPDEPERA,032841E
394924N,ILLES BALEARS,490,B013X,"ESCORCA, LLUC",025309E
385235N,ILLES BALEARS,6,B954,"IBIZA, AEROPUERTO",012304E
395117N,ILLES BALEARS,91,B893,"MENORCA, AEROPUERTO",041256E
393339N,ILLES BALEARS,8,B278,"PALMA DE MALLORCA, AEROPUERTO",024412E
393319N,ILLES BALEARS,3,B228,"PALMA, PUERTO",023731E
393118N,ILLES BALEARS,120,B346X,PORRERES,030109E
392454N,ILLES BALEARS,17,B434X,PORTOCOLOM  ,031616E
394457N,ILLES BALEARS,40,B691Y,SA POBLA,030100E
394406N,ILLES BALEARS,1030,B248,"SIERRA DE ALFABIA, BUNYOLA",024247E
282641N,LAS PALMAS,25,C249I,FUERTEVENTURA AEROPUERTO,135147W
275504N,LAS PALMAS,32,C649I,GRAN CANARIA AEROPUERTO,152343W
280003N,LAS PALMAS,10,C619I,LA ALDEA DE SAN NICOLÁS,154850W
285707N,LAS PALMAS,14,C029O,LANZAROTE AEROPUERTO,133601W
280647N,LAS PALMAS,15,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",152517W
280523N,LAS PALMAS,55,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",152458W
274409N,LAS PALMAS,6,C689E,MASPALOMAS,153545W
274859N,LAS PALMAS,10,C629X,"MOGÁN, PUERTO",154551W
280257N,LAS PALMAS,15,C229J,PÁJARA,142129W
291355N,LAS PALMAS,10,C839I,TEGUISE,133007W
281906N,STA. CRUZ DE TENERIFE,115,C439J,GÜÍMAR,162256W
274908N,STA. CRUZ DE TENERIFE,32,C929I,HIERRO AEROPUERTO,175320W
281832N,STA. CRUZ DE TENERIFE,2371,C430E,IZAÑA,162958W
283759N,STA. CRUZ DE TENERIFE,33,C139E,LA PALMA AEROPUERTO,174518W
282505N,STA. CRUZ DE TENERIFE,25,C459Z,PUERTO DE LA CRUZ,163253W
280523N,STA. CRUZ DE TENERIFE,15,C329Z,SAN SEBASTIÁN DE LA GOMERA,170641W
282748N,STA. CRUZ DE TENERIFE,35,C449C,STA.CRUZ DE TENERIFE,161519W
283545N,STA. CRUZ DE TENERIFE,62,C129Z,TAZACORTE,175455W
282839N,STA. CRUZ DE TENERIFE,632,C447A,TENERIFE NORTE AEROPUERTO,161946W
280249N,STA. CRUZ DE TENERIFE,64,C429I,TENERIFE SUR AEROPUERTO,163340W
